"Country","Program","Credit Granting School","Grade System"
"Germany","MUAS - Munich University of Applied Sciences: Supply Chain Management - Summer in Munich, Germany","Munich University of Applied Sciences","German Grade System"
"Germany","Westfalische Wilhelms-Universitaet in Muenster, Germany - Law Exchange (Exchange)","Westfalische Wilhelms-Universitaet","German Grade System"
"Germany","Freie University Berlin in Berlin, Germany: Intensive German Language - Summer sponsored by ISA","Freie University of Berlin","US Grade System"
"Germany","Freie University Berlin, in Berlin, Germany: German Language & European Studies sponsored by ISA","Freie University of Berlin","US Grade System"
"Ghana","Child Health and Social Determinants in Accra, Ghana sponsored by CFHI","No Credit","No Credit"
"Global Cruise","Semester at Sea","Colorado State University","US Grade System"
"Greece","Athens University for Economics and Business in Athens, Greece (Exchange)","Athens University for Economics and Business","Greek Grading System"
"Greece","Mediterranean Basin sponsored by IAU","IAU","IAU Grades"
"Greece","American College of Thessaloniki in Thessaloniki, Greece","American College of Thessaloniki","US Grade System"
"Hungary","Eötvös Loránd University in Budapest, Hungary (MAUI consortium) (Exchange)","Eotvos Lorand University","Hungarian Grade System"
"Hungary","University of Pecs in Hungary","University of Pecs","Hungarian Grade System"
"Iceland","Reykjavík University in Reykjavik, Iceland (Exchange)","Reykjavik University","Icelandic Grade System"
"Iceland","Reykjavik University: Business, Computer Science and Engineering Program in Reykjavik, Iceland sponsored by API","Reykjavik University","Icelandic Grade System"
"Iceland","SIT Study Abroad Iceland: Renewable Energy, Technology, and Resource Economics in Reykjavik, Iceland","World Learning SIT Study Abroad","US Grade System"
"India","Public Health Delivery Innovation and Community Medicine in New Delhi, India sponsored by CFHI","No Credit","No Credit"
"India","Contemporary India in Pune, India: Development, Economy, Society sponsored by IFSA-Butler","Butler University","US Grade System"
"Ireland","Theatre Alive: Theatre in Ireland and England sponsored by IAU","IAU","IAU Grades"
"Ireland","Maynooth University in Maynooth, Ireland","Maynooth University","Irish Grade System"
"Ireland","Maynooth University: Engineering - Summer in Maynooth, Ireland","Maynooth University","Irish Grade System"
"Ireland","University College Cork in Cork, Ireland (MAUI consortium) (Exchange)","University College Cork","Irish Grade System"
"Ireland","University of Limerick in Ireland","University of Limerick","Irish Grade System"
"Ireland","University College Dublin in Ireland","University College Dublin","UCD Grade Scale"
"Ireland","Parliamentary Internship in Dublin, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","STEM Summer Research in Dublin, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","STEM Summer Research in Limerick, Ireland sponsored by Arcadia University","Arcadia University","US Grade System"
"Ireland","International Internship in Dublin, Ireland sponsored by Global Experiences","Fairfield University","US Grade System"
"Ireland","International Internship in Dublin, Ireland sponsored by API","Nichols College","US Grade System"
"Ireland","Engineering in Dublin, Ireland sponsored by CEA","University of New Haven","US Grade System"
"Israel","Technion - Israel Institute of Technology in Haifa, Israel (Global E3) (Exchange)","Israel Institute of Technology","Israeli Grade System"
"Italy","Great Cities sponsored by IAU","IAU","IAU Grades"
"Italy","Mediterranean Basin sponsored by IAU","IAU","IAU Grades"
"Italy","International Internship in Florence, Italy sponsored by Global Experiences","Fairfield University","US Grade System"
"Italy","International Internship in Milan, Italy sponsored by Global Experiences","Fairfield University","US Grade System"
"Italy","Florence University of the Arts in Florence, Italy: Business, Hospitality & Studio Art - Summer sponsored by ISA","Florence University of the Arts","US Grade System"
"Italy","Florence University of the Arts: Business, Hospitality, Design & Liberal Arts in Florence, Italy - Semester/Academic Year sponsored by ISA","Florence University of the Arts","US Grade System"
"Italy","John Cabot University and Shadow Doctors in Rome, Italy","John Cabot University","US Grade System"
"Italy","John Cabot University for Engineers in Rome, Italy","John Cabot University","US Grade System"
"Italy","John Cabot University in Rome, Italy (Affiliate)","John Cabot University","US Grade System"
"Italy","Lorenzo de'Medici - Florence, Italy","Lorenzo de' Medici","US Grade System"
"Italy","Lorenzo de'Medici - Rome, Italy","Lorenzo de' Medici","US Grade System"
"Italy","Lorenzo de'Medici - Tuscania, Italy","Lorenzo de' Medici","US Grade System"
"Italy","The Culture of Food & Wine in Italy sponsored by CEA","University of New Haven","US Grade System"
"Italy","Engineering in Rome, Italy sponsored by CEA","University of New Haven","US Grade System"
"Italy","International Internship in Rome, Italy sponsored by CEA","University of New Haven","US Grade System"
"Japan","International Research Internship for Engineers in Tokyo, Japan sponsored by Aoyama Gakuin University","Aoyama Gakuin University","Japanese Grade System"
"Japan","Osaka Gakuin University: Intensive Japanese Language & Culture Studies in Osaka, Japan sponsored by CET","Osaka Gakuin University","Japanese Grade System"
"Japan","Summer in Tokyo - Seisen University sponsored by CIS Abroad","Seisen University","Japanese Grade System"
"Japan","Sophia University: Arts and Sciences Semester Program in Tokyo, Japan sponsored by CIEE","Sophia University","Japanese Grade System"
"Japan","Sophia University: Japanese Studies Summer Program in Tokyo, Japan sponsored by CIEE","Sophia University","Japanese Grade System"
"Japan","Japan Center for Michigan Universities in Hikone, Japan (JCMU)","Japan Center for Michigan Universities","US Grade System"
"Japan","Japanese Language School in Tokyo, Japan sponsored by KCP International","KCP International","US Grade System"
"Japan","International Internship in Osaka, Japan sponsored by CRCC Asia","St. Peters University","US Grade System"
"Japan","International Internship in Tokyo, Japan sponsored by CRCC Asia","St. Peters University","US Grade System"
"Kyrgyzstan","School of Russian and Asian Studies - SRAS in Bishkek, Kyrgyzstan","London School of Languages and Literatures","US Grade System"
"Latvia","University of Latvia in Riga, Latvia (MAUI consortium) (Exchange)","University of Latvia","Latvia Grade System"
"Lithuania","Vilnius University in Vilnius, Lithuania (MAUI consortium) (Exchange)","Vilnius University","Lithuanian Grade System"
"Lithuania","Vytautas Magnus University in Kaunas, Lithuania - Law Exchange (Exchange)","Vytautas Magnus University","Lithuanian Grade System"
"Malaysia","Universiti Teknologi Petronas in Bandar Seri Iskandar, Malaysia (Global E3) (Exchange)","Universiti Teknologi Petronas","Malaysian Grade System"
"Malaysia","Heriot-Watt University in Putrajaya, Malaysia","Heriot-Watt University","United Kingdom Grade System"
"Malta","University of Malta in Valletta, Malta (MAUI consortium) (Exchange)","University of Malta","University of Malta Grading Scale"
"Morocco","Europe & The Islamic World sponsored by IAU","IAU","IAU Grades"
"Morocco","Psychology of Peace and Conflict in the Mediterranean sponsored by IAU","IAU","IAU Grades"
"Morocco","Arabic Language & Culture in Fez, Morocco sponsored by the University of Minnesota","University of Minnesota","US Grade System"
"Netherlands","TU Delft - Delft University of Technology in Delft, Netherlands (Global E3) (Exchange)","Delft University of Technology","Netherland Grade System"
"Netherlands","Rotterdam School of Management in Rotterdam, Netherlands","Rotterdam School of Management","Netherland Grade System"
"Netherlands","University of Utrecht in Utrecht, Netherlands (MAUI consortium) (Exchange)","University of Utrecht","Netherland Grade System"
"Netherlands","Utrecht School of the Arts in Utrecht, Netherlands (MAUI consortium) (Exchange)","University of Utrecht","Netherland Grade System"
"New Zealand","Auckland University of Technology in Auckland, New Zealand","Auckland University of Technology","NZ Grade System"
"New Zealand","University of Canterbury: Engineering, Environmental Science, Business & Liberal Arts in Christchurch, New Zealand sponsored by ISA","University of Canterbury","NZ Grade System"
"New Zealand","University of Otago in Dunedin, New Zealand","University of Otago","NZ Grade System"
"New Zealand","International Internship in Auckland, New Zealand sponsored by API","Nichols College","US Grade System"
"New Zealand","International Internship in Wellington, New Zealand sponsored by API","Nichols College","US Grade System"
"New Zealand","University of Auckland - Semester/Academic Year in Auckland, New Zealand sponsored by Arcadia","Arcadia University","US Grade System"
"Norway","Buskerud University College in Honefoss, Norway (Exchange)","Buskerud University College","Norweigan Grade System"
"Norway","Norwegian University of Science and Technology in Trondheim, Norway (NTNU) (Exchange)","Norwegian University of Science and Technology","Norweigan Grade System"
"Norway","University of Bergen in Bergen, Norway (MAUI consortium) (Exchange)","University of Bergen","Norweigan Grade System"
"Peru","University of Salamanca in Cusco, Peru: Language, Literature & Culture - Semester sponsored by ISA","University of Salamanca","Peruvian Grade System"
"Peru","University of Salamanca in Cusco, Peru: Language, Literature & Culture - Summer sponsored by ISA","University of Salamanca","Peruvian Grade System"
"Peru","Service-Learning in Lima, Perú sponsored by ISA","Carroll College Montana","US Grade System"
"Peru","Summer in Peru - Universidad San Ignacio de Loyola sponsored by CIS Abroad","Universidad San Ignacio de Loyola","Peruvian Grade System"
"Philippines","Remote Island Medicine in the Philippines sponsored by CFHI","No Credit","No Credit"
"Poland","Jagiellonian University in Krakow, Poland (MAUI consortium) (Exchange)","Jagiellonian University","Polish Grade System"
"Portugal","NOVA School of Business and Economics in Lisbon, Portugal","NOVA School of Business and Economics","Portuguese Grade System"
"Portugal","Universidade de Coimbra in Coimbra, Portugal (MAUI consortium) (Exchange)","Universidade de Coimbra","Portuguese Grade System"
"Puerto Rico","Universidad Politecnica de Puerto Rico in San Juan, Puerto Rico (Exchange) (Exchange)","Universidad Politecnica de Puerto Rico","US Grade System"
"Romania","Alexandru Ioan Cuza University in Iasi, Romania (MAUI consortium) (Exchange)","Alexandru Ioan Cuza Univ","Romanian Grade System"
"Russia","Math in Moscow, Russia","Independent University of Moscow","Russian Grade System"
"Russia","School of Russian and Asian Studies - SRAS in Irkutsk, Russia","Irkutsk State University","Russian Grade System"
"Russia","GRINT Centre for Education and Culture in Moscow, Russia","GRINT","US Grade System"
"Russia","School of Russian and Asian Studies - SRAS in Moscow, Russia","Stetson University","US Grade System"
"Russia","School of Russian and Asian Studies - SRAS in St. Peterburg, Russia","Stetson University","US Grade System"
"Singapore","Nanyang Technological University in Singapore City, Singapore (Global E3) (Exchange)","Nanyang Technological University","Singaporian Grade System"
"Slovakia","Comenius University in Bratislava, Slovakia (MAUI consortium) (Exchange)","Comenius University","Slovakian Grade Scale"
"Slovenia","University of Ljubljana in Slovenia (Exchange)","University of Ljubljana","Slovenian Grade Scale"
"Slovenia","University of Ljubljana in Slovenia (MAUI consortium) (Exchange)","University of Ljubljana","Slovenian Grade Scale"
"South Africa","Healthcare Challenges in Cape Town, South Africa sponsored by CFHI","No Credit","No Credit"
"South Africa","IES Abroad South Africa: University of Cape Town","University of Capetown","South African Grade System"
"South Africa","IES Abroad South Africa: Health, Culture, & Development in Cape Town, South Africa","University of Rochester","US Grade System"
"South Africa","IES Abroad South Africa: Summer - Health Studies in Cape Town, South Africa","University of Rochester","US Grade System"
"South Africa","International Internship in Cape Town, South Africa sponsored by IES Abroad","University of Rochester","US Grade System"
"South Korea","Dongseo University (Exchange)","Dongseo University","South Korean Grade System"
"South Korea","Korea University: Korean Language and Electives in English - Summer in Seoul, South Korea sponsored by ISA","Korea University","South Korean Grade System"
"South Korea","Korea University: STEM, Business, Social Sciences and Liberal Arts - Semester/Academic Year in Seoul, South Korea sponsored by ISA","Korea University","South Korean Grade System"
"South Korea","International Internship in Seoul, South Korea sponsored by CRCC Asia","St. Peters University","US Grade System"
"Spain","Europe & The Islamic World sponsored by IAU","IAU","IAU Grades"
"Spain","Mediterranean Ecology sponsored by IAU","IAU","IAU Grades"
"Spain","Psychology of Peace and Conflict in the Mediterranean sponsored by IAU","IAU","IAU Grades"
"Spain","Sports & Society in Europe sponsored by IAU","IAU","IAU Grades"
"Spain","Wine, Gastronomy & Sustainability of the Mediterranean Traveling Seminar sponsored by IAU","IAU","IAU Grades"
"Spain","Wine, Gastronomy & Sustainability of the Mediterranean Traveling Seminar sponsored by IAU","IAU","IAU Grades"
"Spain","Menendez Pelayo International University: International Studies, Business, & Spanish Language - Semester/Academic Year in Seville, Spain sponsored by ISA","Menedez Pelayo International University","Spanish Grade System"
"Spain","Menendez Pelayo International University: Spanish Language, Culture & Business - Summer in Seville, Spain sponsored by ISA","Menedez Pelayo International University","Spanish Grade System"
"Spain","Nebrija University: Spanish Language, Hispanic Studies & Electives - Summer in Madrid, Spain sponsored by ISA","Nebrija University","Spanish Grade System"
"Spain","Nebrija University: Spanish Language, Liberal Arts & Business - Semester/Trimester in Madrid, Spain sponsored by ISA","Nebrija University","Spanish Grade System"
"Spain","Autonomous University of Barcelona in Barcelona, Spain: International Studies, Business & Culture - Semester/Academic Year sponsored by ISA","Universidad Autonomous De Barcelona","Spanish Grade System"
"Spain","Autonomous University of Barcelona in Barcelona, Spain: International Studies, Business & Culture - Summer sponsored by ISA","Universidad Autonomous De Barcelona","Spanish Grade System"
"Spain","Universidad Politécnica de Madrid in Madrid, Spain (Global E3) (Exchange)","Universidad Politecnica de Madrid","Spanish Grade System"
"Spain","Universidad Pontificia Comillas in Madrid, Spain (Exchange)","Universidad Pontifica Comillas","Spanish Grade System"
"Spain","Universidad Pontificia Comillas in Madrid, Spain (Global E3 ) (Exchange)","Universidad Pontifica Comillas","Spanish Grade System"
"Spain","STEM Summer Research in Granada, Spain sponsored by Arcadia University","Arcadia University","US Grade System"
"Spain","International Internship in Barcelona, Spain sponsored by Global Experiences","Fairfield University","US Grade System"
"Spain","International Internship in Madrid, Spain sponsored by API","Nichols College","US Grade System"
"Spain","International Internship in Barcelona, Spain sponsored by CEA","University of New Haven","US Grade System"
"Sri Lanka","IFSA- Intercollegiate Sri Lanka Education (ISLE) Program","Butler University","US Grade System"
"Sweden","Lund University in Lund, Sweden (Global E3) (Exchange)","Lund University","Swedish Grade System"
"Sweden","Stockholm Business School in Stockholm, Sweden (Exchange)","Stocklholm Business School","Swedish Grade System"
"Sweden","Study in Stockholm, Sweden sponsored by DIS","Danish Institute for Study Abroad","US Grade System"
"Switzerland","University of Basel in Basel, Switzerland (MAUI consortium) (Exchange)","University of Basel","Switzerland Grade System"
"Taiwan","National Cheng Kung University in Tainan City, Taiwan (NCKU) Exchange Program (Exchange)","National Cheng Kung University","Taiwainese Grade System"
"Taiwan","National Cheng Kung University in Tainan, Taiwan (NCKU) Summer Program","National Cheng Kung University","Taiwainese Grade System"
"Tanzania","Fundamentals of Wildlife Management in Moyo Hill Camp, Tanzania sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Tanzania","Techniques for Wildlife Field Research in Moyo Hill Camp, Tanzania sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Tanzania","Wildlife Management Studies in Moyo Hill Camp, Tanzania sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Thailand","Mahidol University: Courses with Locals in Multiple Disciplines - Semester/Trimester in Bangkok, Thailand sponsored by ISA","Mahidol University","Mahidol Grade System"
"Turks and Caicos Islands","Applied Marine Research Techniques in South Caicos Island, Turks and Caicos Islands sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Turks and Caicos Islands","Marine Resource Studies in South Caicos Island, Turks and Caicos Islands sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Turks and Caicos Islands","Tropical Marine Ecosystems: Monitoring and Management in South Caicos Island, Turks and Caicos Islands sponsored by The School for Field Studies","The School for Field Studies","US Grade System"
"Uganda","Community Health Workers and Global Health in Uganda sponsored by CFHI","No Credit","No Credit"
"United Arab Emirates","American University of Sharjah in Sharjah, United Arab Emirates: Graduate Programs sponsored by API","American University of Sharjah","United Arab Emirates System"
"United Arab Emirates","American University of Sharjah in Sharjah, United Arab Emirates: Semester/Academic Year sponsored by API","American University of Sharjah","United Arab Emirates System"
"United Arab Emirates","American University of Sharjah in Sharjah, United Arab Emirates: Summer sponsored by API","American University of Sharjah","United Arab Emirates System"
"United Arab Emirates","Heriot-Watt University in Dubai, United Arab Emirates","Heriot-Watt University","United Kingdom Grade System"
"United Kingdom","Europe & The Islamic World sponsored by IAU","IAU","IAU Grades"
"United Kingdom","Great Cities sponsored by IAU","IAU","IAU Grades"
"United Kingdom","Psychology of Peace and Conflict in the Mediterranean sponsored by IAU","IAU","IAU Grades"
"United Kingdom","Sports & Society in Europe sponsored by IAU","IAU","IAU Grades"
"United Kingdom","Theatre Alive: Theatre in Ireland and England sponsored by IAU","IAU","IAU Grades"
"United Kingdom","Cardiff University (Global E3) (Exchange)","Cardiff University","United Kingdom Grade System"
"United Kingdom","Manchester Metropolitan University in Manchester, United Kingdom (Exchange)","Manchester Metropolitan University","United Kingdom Grade System"
